id,title,titleHa,category,lga,year,status,agency,cost,location,indexPage,evidencePage,pdfPage,documentedInReport,verification
16,"Broadband Infrastructure Project at FU Kashere, Federal University Kashere, Gombe State","Aikin Babban Tsarin Sadarwar Intanet at FU Kashere, Federal University Kashere, Gombe State",Broadband & Connectivity,Akko,,Documented in source index,,,,39,39,69,True,Report documented — independent verification not yet added
17,"Broadband Infrastructure Project at Central Primary School, Gombe","Aikin Babban Tsarin Sadarwar Intanet at Central Primary School, Gombe",Broadband & Connectivity,Gombe,,Documented in source index,,,,39,39,69,True,Report documented — independent verification not yet added
18,"Broadband Infrastructure Project at Pen Resource University (Now North-Eastern University), Gombe","Aikin Babban Tsarin Sadarwar Intanet at Pen Resource University (Now North-Eastern University), Gombe",Broadband & Connectivity,Gombe,,Documented in source index,,,,39,39,69,True,Report documented — independent verification not yet added
19,"Broadband Infrastructure Project at Government Vocational Training Centre, Bolari East Kamara Gombe, Gombe State, (Free broadband to staff and Students).","Aikin Babban Tsarin Sadarwar Intanet at Government Vocational Training Centre, Bolari East Kamara Gombe, Gombe State, (Free broadband to staff and Students).",Broadband & Connectivity,Gombe,,Documented in source index,,,,39,39,69,True,Report documented — independent verification not yet added
20,"Broadband Infrastructure Project at College of Education, Billiri, PMB 011, Billiri, Gombe State. (Free broadband for staff and students).","Aikin Babban Tsarin Sadarwar Intanet at College of Education, Billiri, PMB 011, Billiri, Gombe State. (Free broadband for staff and students).",Broadband & Connectivity,Billiri,,Documented in source index,,,,39,39,69,True,Report documented — independent verification not yet added
21,"Broadband Infrastructure Project at Gombe State Polytechnic Bajoga, Gombe State. (Free broadband for staff and students).","Aikin Babban Tsarin Sadarwar Intanet at Gombe State Polytechnic Bajoga, Gombe State. (Free broadband for staff and students).",Broadband & Connectivity,Funakaye,,Documented in source index,,,,40,40,70,True,Report documented — independent verification not yet added
22,"Broadband Infrastructure Project at Government Day Secondary School Hashidu, Dukku LGA, Gombe State. (Free broadband for staff and Students).","Aikin Babban Tsarin Sadarwar Intanet at Government Day Secondary School Hashidu, Dukku LGA, Gombe State. (Free broadband for staff and Students).",Broadband & Connectivity,Dukku,,Documented in source index,,,,40,40,70,True,Report documented — independent verification not yet added
23,"Broadband Infrastructure Project at Mus'ab Bn Umair College of Education Bajoga, Bajoga LGA, Gombe State. (Free broadband for staff and students).","Aikin Babban Tsarin Sadarwar Intanet at Mus'ab Bn Umair College of Education Bajoga, Bajoga LGA, Gombe State. (Free broadband for staff and students).",Broadband & Connectivity,Funakaye,,Documented in source index,,,,40,40,70,True,Report documented — independent verification not yet added
24,"Broadband Infrastructure Project at College of Health Technology, Kaltungo, Gombe State. (Free broadband for staff and students).","Aikin Babban Tsarin Sadarwar Intanet at College of Health Technology, Kaltungo, Gombe State. (Free broadband for staff and students).",Broadband & Connectivity,Kaltungo,,Documented in source index,,,,40,40,70,True,Report documented — independent verification not yet added
25,"Broadband Infrastructure Project at New Market Gombe in the sum of about N338,238,241.9 (Three Hundred Thirty-Eight Million Two Hundred Thirty-Eight Thousand Two Hundred Forty-One Naira, Ninety Kobo).","Aikin Babban Tsarin Sadarwar Intanet at New Market Gombe in the sum of about N338,238,241.9 (Three Hundred Thirty-Eight Million Two Hundred Thirty-Eight Thousand Two Hundred Forty-One Naira, Ninety Kobo).",Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,40,40,70,True,Report documented — independent verification not yet added
26,Broadband Infrastructure Project at Gombe State University.,Aikin Babban Tsarin Sadarwar Intanet at Gombe State University.,Broadband & Connectivity,Gombe,,Documented in source index,,,,40,40,70,True,Report documented — independent verification not yet added
27,"Broadband Infrastructure Project at Federal College of Education (Technical), Gombe State, in the sum of about N210,272,150.00.","Aikin Babban Tsarin Sadarwar Intanet at Federal College of Education (Technical), Gombe State, in the sum of about N210,272,150.00.",Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,41,41,71,True,Report documented — independent verification not yet added
28,"Broadband Infrastructure Project at Gombe State Polytechnic, Bajoga, Gombe State, in the sum of about N284,350,246.51.","Aikin Babban Tsarin Sadarwar Intanet at Gombe State Polytechnic, Bajoga, Gombe State, in the sum of about N284,350,246.51.",Broadband & Connectivity,Funakaye,,Documented in source index,,,,41,41,71,True,Report documented — independent verification not yet added
29,"Broadband Infrastructure Project at Gombe Lawanti International Airport, in the sum of about N222,038,025.00.","Aikin Babban Tsarin Sadarwar Intanet at Gombe Lawanti International Airport, in the sum of about N222,038,025.00.",Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,41,41,71,True,Report documented — independent verification not yet added
30,Broadband Infrastructure Project at Gombe Main Market,Aikin Babban Tsarin Sadarwar Intanet at Gombe Main Market,Broadband & Connectivity,Gombe,,Documented in source index,,,,41,41,71,True,Report documented — independent verification not yet added
31,"Digital Capacity Building Centre at JIBWIS Science Secondary School, Gombe, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at JIBWIS Science Secondary School, Gombe, Gombe State",Digital Skills & Literacy,Gombe,2016,Completed,NITDA,"₦20,925,250.00","JIBWIS Science Secondary School, Gombe",45,45,75,True,Report documented — independent verification not yet added
32,"Digital Capacity Building Centre at Markazu Science Secondary School, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Markazu Science Secondary School, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,45,45,75,True,Report documented — independent verification not yet added
33,"Digital Capacity Building Centre at Government Science Secondary School, Gombe, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Government Science Secondary School, Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,47,47,77,True,Report documented — independent verification not yet added
34,"Digital Capacity Building Centre at Federal College of Horticultural Technology, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Federal College of Horticultural Technology, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,48,48,78,True,Report documented — independent verification not yet added
35,"Digital Capacity Building Centre at Science Intensive School, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Science Intensive School, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,49,49,79,True,Report documented — independent verification not yet added
36,"Digital Capacity Building Centre at Government Day Secondary School, Herwagana, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Government Day Secondary School, Herwagana, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,50,50,80,True,Report documented — independent verification not yet added
37,"Digital Capacity Building Centre at Government Day Secondary school, Pantami, Gombe, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Government Day Secondary school, Pantami, Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,51,51,81,True,Report documented — independent verification not yet added
38,"Digital Capacity Building Centre at Shehu Abubakar Day Secondary School, Bolari, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Shehu Abubakar Day Secondary School, Bolari, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,51,51,81,True,Report documented — independent verification not yet added
39,"Digital Capacity Building Centre at Government Day Secondary School, Gandu, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at Government Day Secondary School, Gandu, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,52,52,82,True,Report documented — independent verification not yet added
40,"Digital Capacity Building Centre at ICT Centre, Gombe Local Govt Secretariat, Gombe State","Cibiyar Gina Ƙwarewar Fasahar Zamani at ICT Centre, Gombe Local Govt Secretariat, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,52,52,82,True,Report documented — independent verification not yet added
41,"Digital Job Creation Centre at Government Vocational College, Tula Wange, Kaltungo LGA, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Government Vocational College, Tula Wange, Kaltungo LGA, Gombe State",Digital Centres & Innovation,Kaltungo,2017,Completed,NITDA,"₦21,172,058.50","Government Vocational College, Tula Wange, Kaltungo LGA",57,57,87,True,Report documented — independent verification not yet added
42,"Digital Job Creation Centre at Shehu Abubakar Centre for Research and Capacity Development, Gombe Emirate Council, Gombe, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Shehu Abubakar Centre for Research and Capacity Development, Gombe Emirate Council, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,57,57,87,True,Report documented — independent verification not yet added
43,"Digital Job Creation Centre at Baptist Academy, Gombe, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Baptist Academy, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,58,58,88,True,Report documented — independent verification not yet added
44,"Digital Job Creation Centre at Gombe State College for legal and Islamic studies, Nafada, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Gombe State College for legal and Islamic studies, Nafada, Gombe State",Digital Centres & Innovation,Nafada,,Documented in source index,,,,59,59,89,True,Report documented — independent verification not yet added
45,"Digital Job Creation Centre at Day Secondary School, Bajoga, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Day Secondary School, Bajoga, Gombe State",Digital Centres & Innovation,Funakaye,,Documented in source index,,,,60,60,90,True,Report documented — independent verification not yet added
46,"Digital Job Creation Centre at Kwaine Community College for Arabic Studies, Gombe, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Kwaine Community College for Arabic Studies, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,61,61,91,True,Report documented — independent verification not yet added
47,"Digital Job Creation Centre at Ma'ahad Secondary School, Commercial Area Behind Gombe Central Market, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Ma'ahad Secondary School, Commercial Area Behind Gombe Central Market, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,62,62,92,True,Report documented — independent verification not yet added
48,"Digital Job Creation Centre at JIBWIS College of Arabic & Islamic EducationGombe, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at JIBWIS College of Arabic & Islamic EducationGombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,63,63,93,True,Report documented — independent verification not yet added
49,"Digital Job Creation Centre at Government Arabic College, Gombe, Gombe State","Cibiyar Samar da Ayyukan Yi na Dijital at Government Arabic College, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,64,64,94,True,Report documented — independent verification not yet added
50,"Digital Divide Bridging Centre at Government Vocational Training Centre, Bolari East Kamara Gombe, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at Government Vocational Training Centre, Bolari East Kamara Gombe, Gombe State",Digital Skills & Literacy,Gombe,2018,Completed,NITDA,"₦22,842,130.00","Government Vocational Training Centre, Bolari East Kamara, Gombe",67,67,97,True,Report documented — independent verification not yet added
51,"Digital Divide Bridging Centre at College of Education, Billiri, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at College of Education, Billiri, Gombe State",Digital Centres & Innovation,Billiri,,Documented in source index,,,,69,69,99,True,Report documented — independent verification not yet added
52,"Digital Divide Bridging Centre at Gombe State Polytechnic Bajoga, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at Gombe State Polytechnic Bajoga, Gombe State",Digital Centres & Innovation,Funakaye,,Documented in source index,,,,70,70,100,True,Report documented — independent verification not yet added
53,"Digital Divide Bridging Centre at Government Day Secondary School Hashidu, Dukku LGA, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at Government Day Secondary School Hashidu, Dukku LGA, Gombe State",Digital Centres & Innovation,Dukku,,Documented in source index,,,,71,71,101,True,Report documented — independent verification not yet added
54,"Digital Divide Bridging Centre at Bioresources Development Center, Billiri, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at Bioresources Development Center, Billiri, Gombe State",Digital Centres & Innovation,Billiri,,Documented in source index,,,,72,72,102,True,Report documented — independent verification not yet added
55,"Digital Divide Bridging Centre at Mus'ab Bn Umair College of Education Bajoga, Bajoga LGA, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at Mus'ab Bn Umair College of Education Bajoga, Bajoga LGA, Gombe State",Digital Centres & Innovation,Funakaye,,Documented in source index,,,,73,73,103,True,Report documented — independent verification not yet added
56,"Digital Divide Bridging Centre at College of Health Technology, Kaltungo, Kaltungo, Gombe State","Cibiyar Rage Gibin Fasahar Zamani at College of Health Technology, Kaltungo, Kaltungo, Gombe State",Digital Centres & Innovation,Kaltungo,,Documented in source index,,,,74,74,104,True,Report documented — independent verification not yet added
57,"Digital Capacity Training Centre at Federal Government Girls’ College, Bajoga, Gombe State","Cibiyar Horar da Ƙwarewar Fasahar Zamani at Federal Government Girls’ College, Bajoga, Gombe State",Digital Skills & Literacy,Funakaye,2019,Completed,NITDA,"₦28,048,700.00","Federal Government Girls’ College, Bajoga",77,77,107,True,Report documented — independent verification not yet added
58,"Digital Capacity Training Centre at Gombe Children School, Gombe, Gombe State","Cibiyar Horar da Ƙwarewar Fasahar Zamani at Gombe Children School, Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,78,78,108,True,Report documented — independent verification not yet added
59,"Digital Capacity Training Centre at Nigerian Television Authority Gombe, Gombe State","Cibiyar Horar da Ƙwarewar Fasahar Zamani at Nigerian Television Authority Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,719,79,109,True,Report documented — independent verification not yet added
60,"Digital Capacity Training Centre at Imam Nafi Academy, Gombe, Gombe State","Cibiyar Horar da Ƙwarewar Fasahar Zamani at Imam Nafi Academy, Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,80,80,110,True,Report documented — independent verification not yet added
61,"Digital Economy Centre & E-Learning Facilities at Gombe State College of Education and Legal Studies, Nafada","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Gombe State College of Education and Legal Studies, Nafada",Digital Centres & Innovation,Nafada,2022,Completed,NITDA,"₦31,737,092.50","Gombe State College of Education and Legal Studies, Nafada",83,83,113,True,Report documented — independent verification not yet added
62,"Digital Economy Centre & E-Learning Facilities at Deba Emirate Council, Progress Association","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Deba Emirate Council, Progress Association",Digital Centres & Innovation,Yamaltu/Deba,,Documented in source index,,,,84,84,114,True,Report documented — independent verification not yet added
63,"Digital Economy Centre & E-Learning Facilities at Science Intensive School, By Pass, Akko LGA","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Science Intensive School, By Pass, Akko LGA",Digital Centres & Innovation,Akko,,Documented in source index,,,,85,85,115,True,Report documented — independent verification not yet added
64,"Digital Economy Centre & E-Learning Facilities at Federal Polytechnic Kaltungo, Kaltungo LGA","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Federal Polytechnic Kaltungo, Kaltungo LGA",Digital Centres & Innovation,Kaltungo,,Documented in source index,,,,86,86,116,True,Report documented — independent verification not yet added
65,"Digital Economy Centre & E-Learning Facilities at Government Comprehensive Day Secondary School, Talasse, Balanga L.GA","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Government Comprehensive Day Secondary School, Talasse, Balanga L.GA",Digital Centres & Innovation,Balanga,,Documented in source index,,,,87,87,117,True,Report documented — independent verification not yet added
66,"Digital Economy Centre & E-Learning Facilities at Gombe State Polytechnic, Bajoga Funakaye LG","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Gombe State Polytechnic, Bajoga Funakaye LG",Digital Centres & Innovation,Funakaye,,Documented in source index,,,,88,88,118,True,Report documented — independent verification not yet added
67,"Digital Economy Centre & E-Learning Facilities at Hajarat School of Arabic and Islamic Studies, Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Hajarat School of Arabic and Islamic Studies, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,89,89,119,True,Report documented — independent verification not yet added
68,"Digital Economy Centre & E-Learning Facilities at Government SCIENCE Secondary School, Malam Sidi, Kwami LGA","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Government SCIENCE Secondary School, Malam Sidi, Kwami LGA",Digital Centres & Innovation,Kwami,,Documented in source index,,,,90,90,120,True,Report documented — independent verification not yet added
69,"Digital Economy Centre & E-Learning Facilities at Government Comprehensive Secondary School, Dadin Kowa, Yamaltu Deba LGA","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Government Comprehensive Secondary School, Dadin Kowa, Yamaltu Deba LGA",Digital Centres & Innovation,Yamaltu/Deba,,Documented in source index,,,,91,91,121,True,Report documented — independent verification not yet added
70,"Digital Economy Centre & E-Learning Facilities at Matrix International Academy, Gombe, Gombe State","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Matrix International Academy, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,92,92,122,True,Report documented — independent verification not yet added
71,"Digital Economy Centre & E-Learning Facilities at Federal Teaching Hospital, Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Federal Teaching Hospital, Gombe",Digital Centres & Innovation,Gombe,2020,Completed,NITDA,"₦28,561,352.50","Federal Teaching Hospital, Gombe",93,93,123,True,Report documented — independent verification not yet added
72,"Digital Economy Centre & E-Learning Facilities at Nurul huda International Academy, No 45 Alabura S Kudi Cresent GRA, Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Nurul huda International Academy, No 45 Alabura S Kudi Cresent GRA, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,94,94,124,True,Report documented — independent verification not yet added
73,"Digital Economy Centre & E-Learning Facilities at Government Comprehensive Secondary School, Kashere Akko LGA Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Government Comprehensive Secondary School, Kashere Akko LGA Gombe",Digital Centres & Innovation,Akko,,Documented in source index,,,,95,95,125,True,Report documented — independent verification not yet added
74,"Digital Economy Centre & E-Learning Facilities at Gombe State INEC, Bolari South Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Gombe State INEC, Bolari South Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,96,96,126,True,Report documented — independent verification not yet added
75,"Digital Economy Centre & E-Learning Facilities at Al-Waalidayn Charitable School, Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Al-Waalidayn Charitable School, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,97,97,127,True,Report documented — independent verification not yet added
76,Digital Economy Centre & E-Learning Facilities at Christian Association of Nigeria(CAN)Gombe,Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Christian Association of Nigeria(CAN)Gombe,Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,98,98,128,True,Report documented — independent verification not yet added
77,"Digital Economy Centre & E-Learning Facilities at College of Nursing and Midwifery, Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at College of Nursing and Midwifery, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,99,99,129,True,Report documented — independent verification not yet added
78,"Digital Economy Centre & E-Learning Facilities at Gombe State High Court, Gombe","Cibiyar Tattalin Arzikin Dijital da Kayan Koyo ta Intanet at Gombe State High Court, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,100,100,130,True,Report documented — independent verification not yet added
79,"Community IT Training Centre & IT Hub at Pantami, Gombe State","Cibiyar Horar da Fasahar Sadarwa ta Al’umma at Pantami, Gombe State",Digital Skills & Literacy,Gombe,2019,Completed,NITDA,"₦87,650,300.00","Pantami, Gombe",102,102,132,True,Report documented — independent verification not yet added
80,"Community IT Training Centre & IT Hub at Dukku, Gombe State","Cibiyar Horar da Fasahar Sadarwa ta Al’umma at Dukku, Gombe State",Digital Skills & Literacy,Dukku,,Documented in source index,,,,103,103,133,True,Report documented — independent verification not yet added
81,"Community IT Training Centre & IT Hub at Tudun Wada, Near Gombe Emirs Palace, Gombe","Cibiyar Horar da Fasahar Sadarwa ta Al’umma at Tudun Wada, Near Gombe Emirs Palace, Gombe",Digital Skills & Literacy,Gombe,,Documented in source index,,,,104,104,134,True,Report documented — independent verification not yet added
82,Community IT Training Centre & IT Hub at Gombe State,Cibiyar Horar da Fasahar Sadarwa ta Al’umma at Gombe State,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,105,105,135,True,Report documented — independent verification not yet added
83,"Community IT Training Centre & IT Hub at Kaltungo, Gombe State","Cibiyar Horar da Fasahar Sadarwa ta Al’umma at Kaltungo, Gombe State",Digital Skills & Literacy,Kaltungo,,Documented in source index,,,,106,106,136,True,Report documented — independent verification not yet added
84,IT Centre in Pantami Primary School (The Alma Mater of Prof. Isa Pantami) Gombe State,IT Centre in Pantami Primary School (The Alma Mater of Prof. Isa Pantami) Gombe State,Education & Devices,Gombe,2021,Completed,NCC/USPF,≈₦150 million,"Pantami Primary School, Gombe",107,107,137,True,Report documented — independent verification not yet added
85,"Community IT Training Centre & IT Hub at FCE, Gombe State","Cibiyar Horar da Fasahar Sadarwa ta Al’umma at FCE, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,108,108,138,True,Report documented — independent verification not yet added
86,National Adopted Village for Smart Agriculture Project (Many Farmers Trained and Empowered in Gombe State),National Adopted Village for Smart Agriculture Project (Many Farmers Trained and Empowered in Gombe State),Agriculture,Statewide / Unspecified,,Documented,NITDA,≈₦650 million (programme cost stated in source),Gombe State / multi-state programme,109,109,139,True,Report documented — independent verification not yet added
87,"Promoting Digital Literacy and Providing Laptops to Select Teachers Government Science Secondary School, Gombe","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai Government Science Secondary School, Gombe",Digital Skills & Literacy,Gombe,2019,Completed,NITDA,,"Government Science Secondary School, Gombe",114,114,144,True,Report documented — independent verification not yet added
88,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Secondary School, Pantami","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Secondary School, Pantami",Digital Skills & Literacy,Gombe,,Documented in source index,,,,115,115,145,True,Report documented — independent verification not yet added
89,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Comprehensive Day Sec., Gabukka, Pantami","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Comprehensive Day Sec., Gabukka, Pantami",Digital Skills & Literacy,Gombe,,Documented in source index,,,,115,115,145,True,Report documented — independent verification not yet added
90,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Sec.,Gandu","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Sec.,Gandu",Digital Skills & Literacy,Gombe,,Documented in source index,,,,115,115,145,True,Report documented — independent verification not yet added
91,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Secondary School Pilot,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Secondary School Pilot,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,115,115,145,True,Report documented — independent verification not yet added
92,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Secondary School Bogo,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Secondary School Bogo,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,136,116,146,True,Report documented — independent verification not yet added
93,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Baptist Academy, Gombe","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Baptist Academy, Gombe",Digital Skills & Literacy,Gombe,,Documented in source index,,,,117,117,147,True,Report documented — independent verification not yet added
94,"Promoting Digital Literacy and Providing Laptops to Select Teachers at JIBWIS Science Secondary School, Gombe","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at JIBWIS Science Secondary School, Gombe",Digital Skills & Literacy,Gombe,,Documented in source index,,,,117,117,147,True,Report documented — independent verification not yet added
